"easting","northing","cityBlockNum","CU","PE","oanimal","I.NO","P.NO","open","infested","inspector","fitSet"
231481.099177,8183530.459704,711,0,0,0,0,0,0,0,43,0
231481.893352,8183696.455638,723,0,0,0,1,0,1,0,32,0
231484.315275,8183650.038491,723,0,0,0,0,0,0,0,32,0
231484.517865,8183565.57167,711,0,0,0,0,0,0,0,43,0
231484.533456,8183535.696855,711,0,1,0,1,1,1,0,43,0
231485.14308,8183464.887222,710,0,0,0,0,0,0,0,20,0
231485.484533,8183764.868998,725,1,1,0,1,0,1,0,39,0
231486.276021,8183593.793373,712,0,0,0,0,0,0,0,20,0
231486.701206,8183703.002113,723,0,1,1,1,0,1,0,39,0
231487.312239,8183794.69667,725,0,0,0,0,0,0,0,32,0
231488.32797,8183488.517025,710,0,0,0,1,1,1,0,34,0
231488.487511,8183661.330629,723,0,0,0,0,0,0,0,20,0
231488.59634,8183706.67286,723,0,0,0,1,1,1,0,32,0
231490.179682,8183820.414587,698,0,0,0,0,0,0,0,39,0
231490.187917,8183546.009492,711,0,0,0,1,1,1,0,38,0
231491.045814,8183711.964642,723,0,0,0,0,0,0,0,39,0
231491.338367,8183462.276839,710,1,1,0,1,1,1,0,18,0
231492.033872,8183563.397113,711,0,0,0,1,1,1,0,39,0
231492.275032,8183669.002061,723,0,0,0,0,0,0,0,39,0
231493.220292,8183717.05592,723,0,0,0,0,0,0,0,43,0
231493.388332,8183603.00418,712,0,0,0,1,1,1,0,38,0
231493.500912,8183495.38288,710,0,1,1,1,0,1,0,18,0
231494.414661,8183592.944465,712,0,0,0,1,0,1,0,18,0
231494.64392,8183760.47841,725,0,1,0,1,0,1,0,20,0
231494.716285,8183721.662907,723,0,0,0,0,0,0,0,35,0
231495.171913,8183679.556229,723,0,0,0,0,0,0,0,32,0
231495.737407,8183770.285146,725,0,0,0,0,0,1,0,43,0
231495.801102,8183361.211315,730,0,0,0,0,0,0,0,39,0
231496.038589,8183554.403958,711,0,0,1,1,0,1,1,20,0
231496.266186,8183827.854417,698,0,0,0,1,0,1,0,43,0
231496.28222,8183504.013535,710,0,0,0,1,0,1,0,36,0
