"X","Y","unicode","block_num","FR_D","FR_M","FR_A","opened","infested","p.i"
234695.988839,8181356.160144,"1.13.10.188",1029,15,12,6,0,0,0.138427691074965
234695.323184,8181344.769646,"1.13.10.189",1029,15,12,6,1,0,0.00260271724386291
234299.808661,8181493.853015,"1.13.10.19",1009,11,12,6,1,0,0.00241695708540904
234724.04184,8181341.775291,"1.13.10.190",1030,4,1,7,1,0,0.00234713834703799
234720.26285,8181350.809373,"1.13.10.191",1030,18,12,6,1,0,0.00234079118900426
234719.426896,8181361.384222,"1.13.10.192",1030,15,12,6,1,0,0.00237506584238641
234742.199163,8181362.427495,"1.13.10.193",1030,15,12,6,1,0,0.00233613660644619
234743.29132,8181351.834269,"1.13.10.194",1030,4,1,7,1,0,0.00230651653562211
234743.632411,8181342.225212,"1.13.10.195",1030,15,12,6,1,0,0.00233952175739752
234770.391937,8181342.891473,"1.13.10.196",1031,15,12,6,1,0,0.00251766532621091
234770.129217,8181351.854639,"1.13.10.197",1031,20,12,6,0,0,0.0962333449972991
234770.172325,8181363.064198,"1.13.10.198",1031,20,12,6,0,0,0.107697242722526
234790.151388,8181363.307085,"1.13.10.199",1031,20,12,6,0,0,0.111838650801272
234212.105073,8181477.016754,"1.13.10.2",1007,11,12,6,1,1,0.00705
234300.831903,8181472.342816,"1.13.10.20",1009,12,12,6,1,0,0.00240891735189965
234788.455666,8181355.108216,"1.13.10.200",1031,20,12,6,0,0,0.100434773482984
234789.078747,8181345.114763,"1.13.10.201",1031,20,12,6,1,0,0.00257098145369426
234827.650206,8181350.839983,"1.13.10.202",1032,18,12,6,0,0,0.126123507652602
234826.498931,8181360.478412,"1.13.10.203",1032,20,12,6,0,0,0.132725752415821
234845.220992,8181363.33428,"1.13.10.204",1032,18,12,6,1,0,0.00260821811415881
234844.52517,8181350.770303,"1.13.10.205",1032,18,12,6,1,0,0.00254220767060801
234876.518544,8181356.308897,"1.13.10.206",1033,18,12,6,1,0,0.002717389232339
234892.663495,8181358.704583,"1.13.10.207",1033,21,12,6,1,0,0.00270215605305804
234926.009724,8181360.715396,"1.13.10.208",1034,18,12,6,1,0,0.00287014416901747
234922.242001,8181344.052534,"1.13.10.209",1035,18,12,6,1,0,0.00264587791849229
234320.261652,8181473.909239,"1.13.10.21",1010,11,12,6,1,0,0.0023746426985175
234935.097727,8181345.856296,"1.13.10.210",1035,18,12,6,1,0,0.00265687965908409
234931.862064,8181331.893611,"1.13.10.211",1035,20,12,6,0,0,0.132065527939499
234929.372368,8181322.047793,"1.13.10.212",1035,20,12,6,0,0,0.156853956005042
234926.164418,8181330.018355,"1.13.10.213",1035,20,12,6,0,0,0.13824762985415
234897.036214,8181341.840582,"1.13.10.214",1036,18,12,6,1,1,0.00705
234897.340323,8181331.249109,"1.13.10.215",1036,20,12,6,1,0,0.00276181933857512
234901.415973,8181323.047628,"1.13.10.216",1036,18,12,6,1,0,0.00270215605305804
234898.711322,8181313.017022,"1.13.10.217",1036,19,12,6,1,0,0.00268396086669468
234879.67013,8181309.770183,"1.13.10.218",1036,18,12,6,1,0,0.00261583470379929
234877.537492,8181317.952018,"1.13.10.219",1036,20,12,6,0,0,0.136687099273753
234323.606596,8181486.259584,"1.13.10.22",1010,11,12,6,1,0,0.00231624884460717
234876.185141,8181325.910166,"1.13.10.220",1036,4,1,7,1,0,0.00256759630274293
234874.826483,8181337.493262,"1.13.10.221",1036,20,12,6,0,0,0.162075731408679
234851.416304,8181335.651878,"1.13.10.222",1037,20,12,6,0,0,0.085189590120641
234850.119484,8181329.305637,"1.13.10.223",1037,18,12,6,1,0,0.00244742344397095
234850.223615,8181314.64122,"1.13.10.224",1037,18,12,6,1,0,0.00243134397695216
234853.024309,8181302.741793,"1.13.10.225",1037,20,12,6,0,0,0.106496834583758
234832.270591,8181301.256585,"1.13.10.226",1037,18,12,6,1,0,0.00250539415401236
234830.54684,8181310.063109,"1.13.10.227",1037,20,12,6,0,0,0.0856697533761479
234829.827944,8181318.223173,"1.13.10.228",1037,20,12,6,1,0,0.00242203481183602
234826.713095,8181328.04709,"1.13.10.229",1037,20,12,6,0,0,0.0949128960446552
234321.747314,8181495.736805,"1.13.10.23",1010,11,12,6,1,0,0.00230693967949103
234756.283254,8181296.140087,"1.13.10.230",1038,15,12,6,1,0,0.00267761370866094
234729.673555,8181314.348861,"1.13.10.231",1038,19,12,6,1,0,0.00258621463297521
234730.466059,8181306.524472,"1.13.10.232",1038,19,12,6,1,0,0.00253078278614729
234732.274125,8181296.734532,"1.13.10.233",1038,21,12,6,1,0,0.00253459108096753
234734.522382,8181288.53867,"1.13.10.234",1038,20,12,6,0,0,0.117480569053478
234701.171052,8181320.012429,"1.13.10.235",1039,19,12,6,1,1,0.00705
234702.353594,8181304.449109,"1.13.10.236",1039,19,12,6,1,1,0.00705
234704.477667,8181294.28943,"1.13.10.237",1039,19,12,6,1,1,0.00705
234693.274409,8181294.281988,"1.13.10.238",1039,19,12,6,1,0,0.00346042986615449
234682.948301,8181294.602942,"1.13.10.239",1039,19,12,6,1,0,0.0031041427285277
234319.08361,8181504.253317,"1.13.10.24",1010,11,12,6,1,0,0.00237421955464858
234680.350965,8181304.884085,"1.13.10.240",1039,4,1,7,1,0,0.00300766592641498
234679.861138,8181314.063464,"1.13.10.241",1039,18,12,6,1,0,0.00290272624692395
234679.499556,8181323.381685,"1.13.10.242",1039,20,12,6,1,0,0.0029259991597143
234651.218446,8181325.564235,"1.13.10.243",1040,18,12,6,1,0,0.00237252697917292
234651.206171,8181314.085201,"1.13.10.244",1040,18,12,6,1,0,0.00231963399555849
234652.239992,8181303.422352,"1.13.10.245",1040,20,12,6,0,0,0.0564998356041054
234654.169633,8181295.486744,"1.13.10.246",1040,19,12,6,1,0,0.00238776015845387
234634.428224,8181296.253394,"1.13.10.247",1040,19,12,6,1,0,0.00234333005221775
234633.355414,8181306.234827,"1.13.10.248",1040,20,12,6,1,0,0.00230820911109777
234629.073954,8181315.766094,"1.13.10.249",1040,19,12,6,1,0,0.00232048028329632
234339.677077,8181505.489385,"1.13.10.25",1010,12,12,6,1,0,0.00234883092251365
234631.157697,8181325.080807,"1.13.10.250",1040,20,12,6,1,0,0.00233232831162595
234600.074668,8181326.981899,"1.13.10.251",1041,19,12,6,0,0,0.0605212028689755
234601.439635,8181318.76097,"1.13.10.252",1041,19,12,6,1,0,0.00233063573615029
234605.200257,8181307.849432,"1.13.10.253",1041,19,12,6,1,0,0.00233148202388812
234604.566183,8181299.332906,"1.13.10.254",1041,20,12,6,1,0,0.00236194838245003
234584.177503,8181299.44547,"1.13.10.255",1041,19,12,6,1,0,0.00234333005221775
234580.565957,8181308.372963,"1.13.10.256",1041,19,12,6,1,0,0.00234502262769342
234581.101624,8181317.516241,"1.13.10.257",1041,20,12,6,0,0,0.0620217130424344
234580.743513,8181328.039071,"1.13.10.258",1041,20,12,6,1,0,0.00238860644619171
234535.238837,8181331.743218,"1.13.10.259",1042,20,12,6,0,0,0.482884806494208
234340.646881,8181499.17051,"1.13.10.26",1010,12,12,6,1,0,0.00235136978572715
234543.225865,8181316.189897,"1.13.10.260",1042,20,12,6,0,0,0.442491072624692
234491.41187,8181306.387336,"1.13.10.261",1043,20,12,6,0,0,0.438409684952884
234548.543971,8181238.856735,"1.13.10.262",1045,20,12,6,0,0,0.0998345694136006
234545.663668,8181247.056463,"1.13.10.263",1045,19,12,6,1,0,0.00241441822219555
234543.675728,8181257.165804,"1.13.10.264",1045,19,12,6,1,0,0.00239029902166737
234542.021682,8181266.244262,"1.13.10.265",1045,20,12,6,0,0,0.0632221211812016
234541.299901,8181275.727289,"1.13.10.266",1045,19,12,6,1,0,0.00241230250285097
234553.220204,8181276.879163,"1.13.10.267",1045,19,12,6,1,0,0.00235221607346498
234566.851141,8181277.068212,"1.13.10.268",1045,19,12,6,1,0,0.00234586891543125
234568.603145,8181267.69642,"1.13.10.269",1045,20,12,6,1,0,0.00231244054978693
234345.309058,8181488.891967,"1.13.10.27",1010,11,12,6,1,0,0.0023445994838245
234570.050059,8181259.304917,"1.13.10.270",1045,19,12,6,1,0,0.00233275145549487
234571.094306,8181250.067426,"1.13.10.271",1045,20,12,6,1,0,0.00236956497209051
234573.335069,8181241.486937,"1.13.10.272",1045,19,12,6,0,0,0.0849495084928876
234593.19867,8181247.154602,"1.13.10.273",1046,20,12,6,1,0,0.00235136978572715
234590.068258,8181258.810321,"1.13.10.274",1046,19,12,6,1,0,0.00230482396014645
234588.071921,8181267.060215,"1.13.10.275",1046,19,12,6,1,0,0.0023115942620491
234585.78693,8181276.717361,"1.13.10.276",1046,19,12,6,1,0,0.00234248376447992
234606.43647,8181275.680654,"1.13.10.277",1046,19,12,6,1,0,0.00229889994598163
234609.135356,8181268.032222,"1.13.10.278",1046,19,12,6,1,0,0.00230736282335994
234610.411491,8181258.718363,"1.13.10.279",1046,4,1,7,1,0,0.00231624884460717
234344.931631,8181480.863747,"1.13.10.28",1010,19,12,6,0,0,0.0634021824020167
234612.745715,8181249.426389,"1.13.10.280",1046,4,1,7,1,0,0.00236702610887702
234639.781981,8181252.170458,"1.13.10.281",1047,19,12,6,1,0,0.00242668939439409
234635.34644,8181265.757356,"1.13.10.282",1047,21,12,6,1,0,0.00236025580697437
234638.174443,8181276.871394,"1.13.10.283",1047,21,12,6,1,0,0.00237337326691075
234660.349579,8181274.489734,"1.13.10.284",1047,19,12,6,1,0,0.00243049768921433
234658.869311,8181264.832389,"1.13.10.285",1047,20,12,6,0,0,0.0797277330892504
234661.726948,8181252.729053,"1.13.10.286",1047,20,12,6,1,0,0.00245207802652902
234690.808067,8181253.992949,"1.13.10.287",1048,20,12,6,1,0,0.00286718216193506
234688.021209,8181262.51732,"1.13.10.288",1048,20,12,6,1,0,0.00277832194946282
234688.510199,8181274.079886,"1.13.10.289",1048,20,12,6,1,0,0.00282571406278135
234349.304751,8181460.045995,"1.13.10.29",1011,11,12,6,1,0,0.00242288109957386
234705.153316,8181274.92661,"1.13.10.290",1048,15,12,6,1,0,0.00293446203709261
234708.644021,8181264.903015,"1.13.10.291",1048,19,12,6,1,0,0.00305632747134026
234710.090199,8181255.029264,"1.13.10.292",1048,19,12,6,1,1,0.00705
